,Especies,Familia,Endémica ,Exótica
1,Melpomene penetralis,Agelenidae,Endémica ,
,Novalena approximata,Agelenidae,,
,Novalena costata,Agelenidae,Endémica ,
,Novalena irazu,Agelenidae,Endémica ,
,Tegenaria domestica,Agelenidae,,Introducida
,Tortolena glaucopis,Agelenidae,,
2,Retiro roberti,Amaurobiidae,Endémica ,
3,Anapis heredia,Anapidae,Endémica ,
,Anapis monteverde,Anapidae,Endémica ,
,Anapisona kethleyi,Anapidae,,
,Pseudanapis gertschi,Anapidae,,
4,Anyphaena furcatella,Anyphaenidae,Endémica ,
,Anyphaena inferens,Anyphaenidae,,
,Anyphaena pretiosa,Anyphaenidae,Endémica ,
,Anyphaenoides cocos,Anyphaenidae,Endémica ,
,Hibana bicolor,Anyphaenidae,,
,Hibana longipalpa,Anyphaenidae,,
,Josa laeta,Anyphaenidae,Endémica ,
,Katissa delicatula,Anyphaenidae,Endémica ,
,Katissa elegans,Anyphaenidae,Endémica ,
,Katissa zimarae,Anyphaenidae,Endémica ,
,Lupettiana eberhardi,Anyphaenidae,Endémica ,
,Macrophyes elongata,Anyphaenidae,,
,Patrera puta,Anyphaenidae,Endémica ,
,Patrera rubra,Anyphaenidae,,
,Sillus longispina,Anyphaenidae,,
,Teudis geminus,Anyphaenidae,,
,Timbuka boquete,Anyphaenidae,,
,Wulfila scopulatus,Anyphaenidae,,
5,Aculepeira escazu,Araneidae,Endémica ,
,Alpaida bicornuta,Araneidae,,
,Araneus ana,Araneidae,Endémica ,
,Araneus anguinifer,Araneidae,,
,Araneus guttatus,Araneidae,,
,Araneus microsoma,Araneidae,Endémica,
,Araneus nuboso,Araneidae,Endémica,
,Araneus selva,Araneidae,,
,Araneus ubicki,Araneidae,Endémica,
,Argiope aurantia,Araneidae,,
,Argiope blanda,Araneidae,,
,Bertrana arena,Araneidae,Endémica,
,Bertrana laselva,Araneidae,Endémica,
,Bertrana striolata,Araneidae,,
,Cyclosa bifurcata,Araneidae,,
,Cyclosa jose,Araneidae,Endémica,
,Cyclosa monteverde,Araneidae,,
,Cyclosa nodosa,Araneidae,,
,Cyclosa rubronigra,Araneidae,,
,Cyrtophora citricola,Araneidae,,Introducida
,Enacrosoma javium,Araneidae,,
,Enacrosoma quizarra,Araneidae,Endémica,
,Epeiroides bahiensis,Araneidae,,
,Eustala anastera,Araneidae,,
,Eustala banksi,Araneidae,,
,Eustala semifoliata,Araneidae,,
,Gasteracantha cancriformis,Araneidae,,
,Hypognatha elaborata,Araneidae,,
,Kapogea sellata,Araneidae,,
,Mangora bimaculata,Araneidae,,
,Mangora calcarifera,Araneidae,,
,Mangora corcovado,Araneidae,Endémica,
,Mangora craigae,Araneidae,Endémica,
,Mangora distincta,Araneidae,,
,Mangora fortuna,Araneidae,,
,Mangora montana,Araneidae,,
,Mangora schneirlai,Araneidae,,
,Mangora vito,Araneidae,Endémica,
,Mastophora caesariata,Araneidae,Endémica,
,Mastophora fasciata,Araneidae,,
,Metazygia dubia,Araneidae,,
,Metazygia keyserlingi,Araneidae,,
,Metazygia serian,Araneidae,Endémica,
,Metazygia wittfeldae,Araneidae,,
,Metepeira maya,Araneidae,,
,Metepeira pacifica,Araneidae,,
,Metepeira uncata,Araneidae,,
,Micrathena agriliformis,Araneidae,,
,Micrathena crassa,Araneidae,,
,Micrathena donaldi,Araneidae,,
