usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
5168617,"Melpomene penetralis (F.O.Pickard-Cambridge, 1902)",Melpomene penetralis,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Agelenidae,Melpomene,Melpomene penetralis,1,54,367,1496,7353,2139864,5168617,FALSE,Arachnida,NA,Melpomene penetralis,1
5168585,"Novalena approximata (Gertsch & Ivie, 1936)",Novalena approximata,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Agelenidae,Novalena,Novalena approximata,1,54,367,1496,7353,2139758,5168585,FALSE,Arachnida,NA,Novalena approximata,2
5168603,"Novalena costata (F.O.Pickard-Cambridge, 1902)",Novalena costata,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Agelenidae,Novalena,Novalena costata,1,54,367,1496,7353,2139758,5168603,FALSE,Arachnida,NA,Novalena costata,3
9495176,"Novalena irazu Maya-Morales & Jiménez, 2017",Novalena irazu,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Agelenidae,Novalena,Novalena irazu,1,54,367,1496,7353,2139758,9495176,FALSE,Arachnida,NA,Novalena irazu,4
2139961,"Tegenaria domestica (Clerck, 1757)",Tegenaria domestica,SPECIES,ACCEPTED,97,EXACT,Animalia,Arthropoda,Araneae,Agelenidae,Tegenaria,Tegenaria domestica,1,54,367,1496,7353,2139925,2139961,FALSE,Arachnida,NA,Tegenaria domestica,5
2139733,"Tortolena glaucopis (F.O.Pickard-Cambridge, 1902)",Tortolena glaucopis,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Agelenidae,Tortolena,Tortolena glaucopis,1,54,367,1496,7353,2139732,2139733,FALSE,Arachnida,NA,Tortolena glaucopis,6
2141902,"Retiro roberti (Reimoser, 1939)",Retiro roberti,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Amaurobiidae,Retiro,Retiro roberti,1,54,367,1496,7354,2141898,2141902,FALSE,Arachnida,NA,Retiro roberti,7
2148280,"Anapis heredia Platnick & Shadab, 1978",Anapis heredia,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anapidae,Anapis,Anapis heredia,1,54,367,1496,7356,2148261,2148280,FALSE,Arachnida,NA,Anapis heredia,8
2148276,"Anapis monteverde Platnick & Shadab, 1978",Anapis monteverde,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anapidae,Anapis,Anapis monteverde,1,54,367,1496,7356,2148261,2148276,FALSE,Arachnida,NA,Anapis monteverde,9
2148391,"Anapisona kethleyi Platnick & Shadab, 1979",Anapisona kethleyi,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anapidae,Anapisona,Anapisona kethleyi,1,54,367,1496,7356,2148387,2148391,FALSE,Arachnida,NA,Anapisona kethleyi,10
2148288,"Pseudanapis gertschi (Forster, 1958)",Pseudanapis gertschi,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anapidae,Pseudanapis,Pseudanapis gertschi,1,54,367,1496,7356,2148284,2148288,FALSE,Arachnida,NA,Pseudanapis gertschi,11
2154575,"Anyphaena furcatella Banks, 1914",Anyphaena furcatella,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anyphaenidae,Anyphaena,Anyphaena furcatella,1,54,367,1496,7358,2154522,2154575,FALSE,Arachnida,NA,Anyphaena furcatella,12
2154555,"Anyphaena inferens Chamberlin, 1925",Anyphaena inferens,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anyphaenidae,Anyphaena,Anyphaena inferens,1,54,367,1496,7358,2154522,2154555,FALSE,Arachnida,NA,Anyphaena inferens,13
2154560,"Anyphaena pretiosa Banks, 1914",Anyphaena pretiosa,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anyphaenidae,Anyphaena,Anyphaena pretiosa,1,54,367,1496,7358,2154522,2154560,FALSE,Arachnida,NA,Anyphaena pretiosa,14
2154751,"Anyphaenoides cocos Baert, 1995",Anyphaenoides cocos,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anyphaenidae,Anyphaenoides,Anyphaenoides cocos,1,54,367,1496,7358,2154737,2154751,FALSE,Arachnida,NA,Anyphaenoides cocos,15
2154696,"Hibana bicolor (Banks, 1909)",Hibana bicolor,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anyphaenidae,Hibana,Hibana bicolor,1,54,367,1496,7358,2154692,2154696,FALSE,Arachnida,NA,Hibana bicolor,16
2154704,"Hibana longipalpa (Bryant, 1931)",Hibana longipalpa,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Araneae,Anyphaenidae,Hibana,Hibana longipalpa,1,54,367,1496,7358,2154692,2154704,FALSE,Arachnida,NA,Hibana longipalpa,17
